Player_ID,Position,LS_Current,LS_Potential,ST_Current,ST_Potential,RS_Current,RS_Potential,LW_Current,LW_Potential,LF_Current,LF_Potential,CF_Current,CF_Potential,RF_Current,RF_Potential,RW_Current,RW_Potential,LAM_Current,LAM_Potential,CAM_Current,CAM_Potential,RAM_Current,RAM_Potential,LM_Current,LM_Potential,LCM_Current,LCM_Potential,CM_Current,CM_Potential,RCM_Current,RCM_Potential,RM_Current,RM_Potential,LWB_Current,LWB_Potential,LDM_Current,LDM_Potential,CDM_Current,CDM_Potential,RDM_Current,RDM_Potential,RWB_Current,RWB_Potential,LB_Current,LB_Potential,LCB_Current,LCB_Potential,CB_Current,CB_Potential,RCB_Current,RCB_Potential,RB_Current,RB_Potential
10466,RM,63,65,63,65,63,65,66,68,65,67,65,67,65,67,66,68,67,69,67,69,67,69,67,69,66,68,66,68,66,68,67,69,59,61,59,61,59,61,59,61,59,61,56,58,54,56,54,56,54,56,56,58
104702,RW,68,70,68,70,68,70,67,69,67,69,67,69,67,69,67,69,67,69,67,69,67,69,66,68,64,66,64,66,64,66,66,68,59,61,60,62,60,62,60,62,59,61,58,60,60,62,60,62,60,62,58,60
104737,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
104900,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
105308,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
105318,RCM,67,69,67,69,67,69,72,74,71,73,71,73,71,73,72,74,73,75,73,75,73,75,72,74,72,74,72,74,72,74,72,74,61,63,63,65,63,65,63,65,61,63,58,60,54,56,54,56,54,56,58,60
105533,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
105827,ST,65,67,65,67,65,67,61,63,63,65,63,65,63,65,61,63,62,64,62,64,62,64,58,60,57,59,57,59,57,59,58,60,43,45,46,48,46,48,46,48,43,45,41,43,45,47,45,47,45,47,41,43
105846,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
105866,CB,49,51,49,51,49,51,43,45,46,48,46,48,46,48,43,45,46,48,46,48,46,48,44,46,53,55,53,55,53,55,44,46,56,58,63,65,63,65,63,65,56,58,58,60,68,70,68,70,68,70,58,60
106231,ST,81,84,81,84,81,84,74,77,78,81,78,81,78,81,74,77,75,78,75,78,75,78,72,75,69,72,69,72,69,72,72,75,58,61,59,62,59,62,59,62,58,61,57,60,61,64,61,64,61,64,57,60
106795,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
107084,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
107298,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
107305,RCB,47,49,47,49,47,49,47,49,47,49,47,49,47,49,47,49,49,51,49,51,49,51,49,51,54,56,54,56,54,56,49,51,57,59,61,63,61,63,61,63,57,59,57,59,63,65,63,65,63,65,57,59
108061,LCB,65,67,65,67,65,67,65,67,66,68,66,68,66,68,65,67,66,68,66,68,66,68,67,69,69,71,69,71,69,71,67,69,69,71,70,72,70,72,70,72,69,71,68,70,69,71,69,71,69,71,68,70
108080,RB,67,70,67,70,67,70,70,73,69,72,69,72,69,72,70,73,69,72,69,72,69,72,71,74,72,75,72,75,72,75,71,74,77,80,76,79,76,79,76,79,77,80,77,80,77,80,77,80,77,80,77,80
10884,CM,55,57,55,57,55,57,52,54,55,57,55,57,55,57,52,54,56,58,56,58,56,58,53,55,58,60,58,60,58,60,53,55,51,53,57,59,57,59,57,59,51,53,51,53,57,59,57,59,57,59,51,53
10899,ST,61,63,61,63,61,63,55,57,57,59,57,59,57,59,55,57,56,58,56,58,56,58,55,57,54,56,54,56,54,56,55,57,47,49,49,51,49,51,49,51,47,49,46,48,48,50,48,50,48,50,46,48
109852,CB,50,52,50,52,50,52,44,46,46,48,46,48,46,48,44,46,46,48,46,48,46,48,45,47,52,54,52,54,52,54,45,47,56,58,63,65,63,65,63,65,56,58,59,61,71,73,71,73,71,73,59,61
110019,CB,49,51,49,51,49,51,46,48,48,50,48,50,48,50,46,48,51,53,51,53,51,53,48,50,56,58,56,58,56,58,48,50,57,59,65,67,65,67,65,67,57,59,59,61,70,72,70,72,70,72,59,61
110376,ST,75,77,75,77,75,77,75,77,76,78,76,78,76,78,75,77,77,79,77,79,77,79,73,75,72,74,72,74,72,74,73,75,55,57,56,58,56,58,56,58,55,57,51,53,47,49,47,49,47,49,51,53
110606,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
110638,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
110677,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
110680,RCB,49,51,49,51,49,51,49,51,48,50,48,50,48,50,49,51,49,51,49,51,49,51,52,54,53,55,53,55,53,55,52,54,62,64,62,64,62,64,62,64,62,64,64,66,66,68,66,68,66,68,64,66
110787,CDM,61,63,61,63,61,63,58,60,61,63,61,63,61,63,58,60,62,64,62,64,62,64,59,61,66,68,66,68,66,68,59,61,61,63,69,71,69,71,69,71,61,63,61,63,70,72,70,72,70,72,61,63
110974,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
111206,RB,59,61,59,61,59,61,63,65,61,63,61,63,61,63,63,65,63,65,63,65,63,65,63,65,65,67,65,67,65,67,63,65,67,69,69,71,69,71,69,71,67,69,67,69,70,72,70,72,70,72,67,69
111328,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
111503,RM,60,62,60,62,60,62,63,65,63,65,63,65,63,65,63,65,63,65,63,65,63,65,61,63,58,60,58,60,58,60,61,63,51,53,49,51,49,51,49,51,51,53,49,51,46,48,46,48,46,48,49,51
111590,RM,61,63,61,63,61,63,65,67,63,65,63,65,63,65,65,67,63,65,63,65,63,65,66,68,60,62,60,62,60,62,66,68,58,60,53,55,53,55,53,55,58,60,56,58,48,50,48,50,48,50,56,58
111661,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
112244,CM,60,62,60,62,60,62,64,66,64,66,64,66,64,66,64,66,68,70,68,70,68,70,64,66,69,71,69,71,69,71,64,66,61,63,67,69,67,69,67,69,61,63,60,62,63,65,63,65,63,65,60,62
112316,LCB,67,70,67,70,67,70,65,68,65,68,65,68,65,68,65,68,64,67,64,67,64,67,67,70,69,72,69,72,69,72,67,70,76,79,76,79,76,79,76,79,76,79,77,80,80,83,80,83,80,83,77,80
112362,ST,63,65,63,65,63,65,62,64,62,64,62,64,62,64,62,64,61,63,61,63,61,63,62,64,57,59,57,59,57,59,62,64,50,52,48,50,48,50,48,50,50,52,47,49,45,47,45,47,45,47,47,49
112365,RCM,63,65,63,65,63,65,67,69,67,69,67,69,67,69,67,69,70,72,70,72,70,72,69,71,72,74,72,74,72,74,69,71,69,71,72,74,72,74,72,74,69,71,68,70,69,71,69,71,69,71,68,70
112373,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
113422,ST,79,82,79,82,79,82,79,82,80,83,80,83,80,83,79,82,79,82,79,82,79,82,77,80,72,75,72,75,72,75,77,80,58,61,56,59,56,59,56,59,58,61,55,58,49,52,49,52,49,52,55,58
113524,ST,68,70,68,70,68,70,69,71,70,72,70,72,70,72,69,71,69,71,69,71,69,71,66,68,64,66,64,66,64,66,66,68,56,58,56,58,56,58,56,58,56,58,54,56,52,54,52,54,52,54,54,56
11381,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
11430,CB,31,33,31,33,31,33,25,27,27,29,27,29,27,29,25,27,27,29,27,29,27,29,27,29,33,35,33,35,33,35,27,29,38,40,44,46,44,46,44,46,38,40,41,43,51,53,51,53,51,53,41,43
114356,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
114764,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
115533,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
115909,ST,76,78,76,78,76,78,76,78,77,79,77,79,77,79,76,78,75,77,75,77,75,77,72,74,65,67,65,67,65,67,72,74,52,54,49,51,49,51,49,51,52,54,48,50,43,45,43,45,43,45,48,50
116308,RCB,61,63,61,63,61,63,63,65,62,64,62,64,62,64,63,65,63,65,63,65,63,65,64,66,66,68,66,68,66,68,64,66,69,71,71,73,71,73,71,73,69,71,70,72,72,74,72,74,72,74,70,72
116314,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
116762,CAM,62,64,62,64,62,64,66,68,65,67,65,67,65,67,66,68,68,70,68,70,68,70,66,68,67,69,67,69,67,69,66,68,59,61,61,63,61,63,61,63,59,61,56,58,54,56,54,56,54,56,56,58
116917,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
117063,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
1179,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
11800,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
11811,CM,57,59,57,59,57,59,59,61,58,60,58,60,58,60,59,61,60,62,60,62,60,62,60,62,62,64,62,64,62,64,60,62,62,64,63,65,63,65,63,65,62,64,62,64,62,64,62,64,62,64,62,64
118359,ST,63,65,63,65,63,65,60,62,61,63,61,63,61,63,60,62,61,63,61,63,61,63,60,62,60,62,60,62,60,62,60,62,53,55,54,56,54,56,54,56,53,55,52,54,54,56,54,56,54,56,52,54
118646,LCM,66,68,66,68,66,68,67,69,67,69,67,69,67,69,67,69,67,69,67,69,67,69,66,68,63,65,63,65,63,65,66,68,52,54,52,54,52,54,52,54,52,54,49,51,46,48,46,48,46,48,49,51
118794,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
118868,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
119233,RB,58,60,58,60,58,60,61,63,60,62,60,62,60,62,61,63,61,63,61,63,61,63,62,64,62,64,62,64,62,64,62,64,65,67,65,67,65,67,65,67,65,67,64,66,64,66,64,66,64,66,64,66
120243,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
120312,CB,45,47,45,47,45,47,36,38,41,43,41,43,41,43,36,38,42,44,42,44,42,44,40,42,51,53,51,53,51,53,40,42,53,55,64,66,64,66,64,66,53,55,57,59,70,72,70,72,70,72,57,59
120415,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
120533,RCB,60,63,60,63,60,63,58,61,59,62,59,62,59,62,58,61,59,62,59,62,59,62,58,61,63,66,63,66,63,66,58,61,71,74,75,78,75,78,75,78,71,74,74,77,82,85,82,85,82,85,74,77
121134,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
121933,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
121937,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
121944,LCB,71,74,71,74,71,74,70,73,72,75,72,75,72,75,70,73,74,77,74,77,74,77,70,73,78,81,78,81,78,81,70,73,71,74,77,80,77,80,77,80,71,74,71,74,75,78,75,78,75,78,71,74
121980,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
121988,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
122066,RS,64,66,64,66,64,66,52,54,57,59,57,59,57,59,52,54,54,56,54,56,54,56,50,52,51,53,51,53,51,53,50,52,40,42,46,48,46,48,46,48,40,42,40,42,48,50,48,50,48,50,40,42
122574,RCM,64,66,64,66,64,66,64,66,64,66,64,66,64,66,64,66,64,66,64,66,64,66,65,67,66,68,66,68,66,68,65,67,67,69,66,68,66,68,66,68,67,69,66,68,66,68,66,68,66,68,66,68
122718,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
122849,ST,73,75,73,75,73,75,71,73,72,74,72,74,72,74,71,73,70,72,70,72,70,72,69,71,64,66,64,66,64,66,69,71,55,57,52,54,52,54,52,54,55,57,53,55,49,51,49,51,49,51,53,55
123603,LCB,49,51,49,51,49,51,46,48,46,48,46,48,46,48,46,48,46,48,46,48,46,48,47,49,51,53,51,53,51,53,47,49,58,60,62,64,62,64,62,64,58,60,59,61,69,71,69,71,69,71,59,61
124337,CB,49,51,49,51,49,51,48,50,49,51,49,51,49,51,48,50,50,52,50,52,50,52,50,52,56,58,56,58,56,58,50,52,59,61,65,67,65,67,65,67,59,61,60,62,70,72,70,72,70,72,60,62
124375,ST,77,79,77,79,77,79,73,75,75,77,75,77,75,77,73,75,71,73,71,73,71,73,72,74,65,67,65,67,65,67,72,74,55,57,53,55,53,55,53,55,55,57,53,55,50,52,50,52,50,52,53,55
124388,LB,67,69,67,69,67,69,70,72,69,71,69,71,69,71,70,72,69,71,69,71,69,71,71,73,69,71,69,71,69,71,71,73,70,72,67,69,67,69,67,69,70,72,69,71,65,67,65,67,65,67,69,71
124607,RDM,68,70,68,70,68,70,70,72,70,72,70,72,70,72,70,72,72,74,72,74,72,74,71,73,74,76,74,76,74,76,71,73,67,69,70,72,70,72,70,72,67,69,65,67,65,67,65,67,65,67,65,67
124635,RDM,66,68,66,68,66,68,63,65,66,68,66,68,66,68,63,65,66,68,66,68,66,68,65,67,70,72,70,72,70,72,65,67,72,74,75,77,75,77,75,77,72,74,72,74,75,77,75,77,75,77,72,74
125132,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
125586,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
125871,LB,63,65,63,65,63,65,66,68,65,67,65,67,65,67,66,68,65,67,65,67,65,67,68,70,68,70,68,70,68,70,68,70,72,74,70,72,70,72,70,72,72,74,71,73,69,71,69,71,69,71,71,73
125995,ST,69,71,69,71,69,71,63,65,66,68,66,68,66,68,63,65,62,64,62,64,62,64,62,64,59,61,59,61,59,61,62,64,52,54,51,53,51,53,51,53,52,54,51,53,51,53,51,53,51,53,51,53
126883,CDM,64,66,64,66,64,66,66,68,66,68,66,68,66,68,66,68,66,68,66,68,66,68,66,68,66,68,66,68,66,68,66,68,65,67,65,67,65,67,65,67,65,67,65,67,63,65,63,65,63,65,65,67
128529,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
12940,CB,44,46,44,46,44,46,37,39,39,41,39,41,39,41,37,39,40,42,40,42,40,42,40,42,47,49,47,49,47,49,40,42,53,55,60,62,60,62,60,62,53,55,55,57,66,68,66,68,66,68,55,57
129566,CB,48,50,48,50,48,50,47,49,47,49,47,49,47,49,47,49,49,51,49,51,49,51,50,52,55,57,55,57,55,57,50,52,59,61,64,66,64,66,64,66,59,61,60,62,67,69,67,69,67,69,60,62
131444,LCM,61,63,61,63,61,63,58,60,61,63,61,63,61,63,58,60,63,65,63,65,63,65,59,61,66,68,66,68,66,68,59,61,63,65,70,72,70,72,70,72,63,65,64,66,70,72,70,72,70,72,64,66
132740,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
133249,LCM,64,66,64,66,64,66,66,68,67,69,67,69,67,69,66,68,69,71,69,71,69,71,67,69,70,72,70,72,70,72,67,69,67,69,71,73,71,73,71,73,67,69,67,69,70,72,70,72,70,72,67,69
134777,CB,49,51,49,51,49,51,47,49,49,51,49,51,49,51,47,49,53,55,53,55,53,55,51,53,60,62,60,62,60,62,51,53,59,61,66,68,66,68,66,68,59,61,60,62,66,68,66,68,66,68,60,62
134779,ST,75,77,75,77,75,77,73,75,74,76,74,76,74,76,73,75,74,76,74,76,74,76,73,75,70,72,70,72,70,72,73,75,60,62,60,62,60,62,60,62,60,62,58,60,57,59,57,59,57,59,58,60
134792,CAM,57,59,57,59,57,59,61,63,60,62,60,62,60,62,61,63,61,63,61,63,61,63,60,62,59,61,59,61,59,61,60,62,56,58,54,56,54,56,54,56,56,58,54,56,49,51,49,51,49,51,54,56
134820,CDM,60,62,60,62,60,62,64,66,63,65,63,65,63,65,64,66,66,68,66,68,66,68,66,68,70,72,70,72,70,72,66,68,72,74,76,78,76,78,76,78,72,74,72,74,74,76,74,76,74,76,72,74
134828,RCB,43,45,43,45,43,45,42,44,43,45,43,45,43,45,42,44,44,46,44,46,44,46,46,48,52,54,52,54,52,54,46,48,56,58,62,64,62,64,62,64,56,58,57,59,65,67,65,67,65,67,57,59
134895,RB,62,64,62,64,62,64,65,67,65,67,65,67,65,67,65,67,66,68,66,68,66,68,68,70,68,70,68,70,68,70,68,70,70,72,71,73,71,73,71,73,70,72,70,72,70,72,70,72,70,72,70,72
134968,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
135032,LCM,57,59,57,59,57,59,59,61,60,62,60,62,60,62,59,61,63,65,63,65,63,65,60,62,66,68,66,68,66,68,60,62,60,62,66,68,66,68,66,68,60,62,59,61,62,64,62,64,62,64,59,61
135043,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
135190,CAM,64,66,64,66,64,66,67,69,67,69,67,69,67,69,67,69,69,71,69,71,69,71,67,69,68,70,68,70,68,70,67,69,61,63,62,64,62,64,62,64,61,63,59,61,55,57,55,57,55,57,59,61
135218,CB,52,54,52,54,52,54,51,53,52,54,52,54,52,54,51,53,53,55,53,55,53,55,54,56,58,60,58,60,58,60,54,56,59,61,62,64,62,64,62,64,59,61,59,61,63,65,63,65,63,65,59,61
135451,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
135507,CDM,74,77,74,77,74,77,75,78,76,79,76,79,76,79,75,78,77,80,77,80,77,80,76,79,80,83,80,83,80,83,76,79,79,82,83,86,83,86,83,86,79,82,79,82,81,84,81,84,81,84,79,82
135576,CAM,64,66,64,66,64,66,67,69,67,69,67,69,67,69,67,69,68,70,68,70,68,70,66,68,63,65,63,65,63,65,66,68,51,53,51,53,51,53,51,53,51,53,48,50,44,46,44,46,44,46,48,50
135587,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
135646,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
135647,ST,67,69,67,69,67,69,61,63,63,65,63,65,63,65,61,63,62,64,62,64,62,64,60,62,58,60,58,60,58,60,60,62,48,50,48,50,48,50,48,50,48,50,46,48,47,49,47,49,47,49,46,48
135697,LW,75,77,75,77,75,77,76,78,77,79,77,79,77,79,76,78,76,78,76,78,76,78,75,77,70,72,70,72,70,72,75,77,56,58,56,58,56,58,56,58,56,58,53,55,49,51,49,51,49,51,53,55
135742,CB,54,56,54,56,54,56,52,54,53,55,53,55,53,55,52,54,54,56,54,56,54,56,56,58,59,61,59,61,59,61,56,58,65,67,69,71,69,71,69,71,65,67,67,69,73,75,73,75,73,75,67,69
135743,ST,68,70,68,70,68,70,62,64,64,66,64,66,64,66,62,64,61,63,61,63,61,63,60,62,57,59,57,59,57,59,60,62,47,49,48,50,48,50,48,50,47,49,46,48,48,50,48,50,48,50,46,48
135883,RB,58,60,58,60,58,60,60,62,60,62,60,62,60,62,60,62,62,64,62,64,62,64,62,64,66,68,66,68,66,68,62,64,69,71,71,73,71,73,71,73,69,71,69,71,74,76,74,76,74,76,69,71
135891,CDM,60,62,60,62,60,62,59,61,60,62,60,62,60,62,59,61,60,62,60,62,60,62,62,64,64,66,64,66,64,66,62,64,67,69,68,70,68,70,68,70,67,69,68,70,69,71,69,71,69,71,68,70
136069,LCB,44,46,44,46,44,46,39,41,41,43,41,43,41,43,39,41,41,43,41,43,41,43,40,42,44,46,44,46,44,46,40,42,53,55,57,59,57,59,57,59,53,55,56,58,66,68,66,68,66,68,56,58
136113,RCB,48,50,48,50,48,50,44,46,48,50,48,50,48,50,44,46,49,51,49,51,49,51,46,48,55,57,55,57,55,57,46,48,57,59,66,68,66,68,66,68,57,59,60,62,74,76,74,76,74,76,60,62
136363,ST,67,69,67,69,67,69,63,65,64,66,64,66,64,66,63,65,62,64,62,64,62,64,61,63,56,58,56,58,56,58,61,63,47,49,46,48,46,48,46,48,47,49,46,48,44,46,44,46,44,46,46,48
136504,CB,47,49,47,49,47,49,40,42,43,45,43,45,43,45,40,42,45,47,45,47,45,47,40,42,50,52,50,52,50,52,40,42,47,49,56,58,56,58,56,58,47,49,50,52,62,64,62,64,62,64,50,52
136553,ST,66,69,66,69,66,69,61,64,64,67,64,67,64,67,61,64,61,64,61,64,61,64,60,63,57,60,57,60,57,60,60,63,44,47,45,48,45,48,45,48,44,47,41,44,41,44,41,44,41,44,41,44
136601,GK,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
