Player_ID,Name,Age,Photo,Nationality_ID,Overall,Potential,Club_ID,Player_Value_Euros,Wage_Euros,Preferred_Foot,International_Reputation,Weak_Foot,Skill_Moves,Work_Rate,Body_Type,Jersey_Number
106795,"G. Pegolo",37,https://cdn.sofifa.org/players/4/19/106795.png,Nat004,71,71,C00026,160000,14000,Left,1,2,1,"Medium/ Medium",Normal,79
107084,"M. Langer",33,https://cdn.sofifa.org/players/4/19/107084.png,Nat013,65,65,C00027,270000,5000,Right,1,1,1,"Medium/ Medium",Normal,34
107298,"Y. Pelé",35,https://cdn.sofifa.org/players/4/19/107298.png,Nat014,75,75,C00028,1600000,19000,Right,1,3,1,"Medium/ Medium",Normal,16
107305,"M. Tacalfred",37,https://cdn.sofifa.org/players/4/19/107305.png,Nat014,65,65,C00029,70000,1000,Right,1,2,2,"Low/ High",Normal,20
108061,"R. Ziegler",32,https://cdn.sofifa.org/players/4/19/108061.png,Nat015,70,70,C00030,1000000,5000,Left,2,3,2,"Medium/ Medium",Normal,3
108080,"S. Lichtsteiner",34,https://cdn.sofifa.org/players/4/19/108080.png,Nat015,79,79,C00031,3600000,94000,Right,3,3,3,"High/ High",Lean,2
10884,"M. Flynn",37,https://cdn.sofifa.org/players/4/19/10884.png,Nat016,59,59,C00032,50000,1000,Right,1,4,2,"Medium/ Medium",Stocky,23
10899,"C. Porter",34,https://cdn.sofifa.org/players/4/19/10899.png,Nat001,62,62,C00033,160000,4000,Right,1,4,2,"High/ Medium",Normal,7
109852,"G. McAuley",38,https://cdn.sofifa.org/players/4/19/109852.png,Nat017,72,72,C00034,425000,23000,Right,2,3,2,"Medium/ High",Normal,4
110019,Dorado,35,https://cdn.sofifa.org/players/4/19/110019.png,Nat012,71,71,C00035,550000,8000,Left,1,3,2,"Medium/ Medium",Normal,5
110376,"Jonatan Soriano",32,https://cdn.sofifa.org/players/4/19/110376.png,Nat012,77,77,C00036,7000000,23000,Right,2,3,4,"Medium/ Low",Normal,9
110606,"A. Mannus",36,https://cdn.sofifa.org/players/4/19/110606.png,Nat017,65,65,C00037,70000,1000,Right,1,3,1,"Medium/ Medium",Normal,1
110638,Cifuentes,39,https://cdn.sofifa.org/players/4/19/110638.png,Nat012,73,73,C00038,270000,4000,Right,1,3,1,"Medium/ Medium",Normal,1
110677,Moyá,34,https://cdn.sofifa.org/players/4/19/110677.png,Nat012,80,80,C00039,6000000,26000,Right,2,2,1,"Medium/ Medium",Normal,13
110680,"Xisco Campos",36,https://cdn.sofifa.org/players/4/19/110680.png,Nat012,66,66,C00040,70000,2000,Right,1,3,2,"Medium/ High",Normal,5
110787,"Borja Fernández",37,https://cdn.sofifa.org/players/4/19/110787.png,Nat012,70,70,C00041,240000,7000,Right,1,3,2,"Medium/ High",Normal,8
110974,Riesgo,34,https://cdn.sofifa.org/players/4/19/110974.png,Nat012,73,73,C00042,1600000,13000,Right,1,3,1,"Medium/ Medium",Lean,13
111206,"S. Riether",35,https://cdn.sofifa.org/players/4/19/111206.png,Nat002,69,69,C00027,230000,9000,Right,2,3,2,"Medium/ Medium",Lean,21
111328,"L. McCormick",34,https://cdn.sofifa.org/players/4/19/111328.png,Nat001,64,64,C00043,180000,3000,Right,1,4,1,"Medium/ Medium",Normal,23
111503,"C. Ben Saada",34,https://cdn.sofifa.org/players/4/19/111503.png,Nat018,63,63,C00044,190000,2000,Left,1,4,3,"Medium/ Medium",Lean,18
111590,"L. Feeney",31,https://cdn.sofifa.org/players/4/19/111590.png,Nat001,67,67,C00045,675000,4000,Right,1,3,3,"Medium/ Low",Stocky,24
111661,"C. Kameni",34,https://cdn.sofifa.org/players/4/19/111661.png,Nat019,75,75,C00046,2700000,39000,Right,2,3,1,"Medium/ Medium",Normal,23
112244,"J. Plašil",36,https://cdn.sofifa.org/players/4/19/112244.png,Nat020,71,71,C00047,750000,18000,Right,2,5,2,"Medium/ Medium",Lean,18
112316,"J. Mathieu",34,https://cdn.sofifa.org/players/4/19/112316.png,Nat014,81,81,C00048,5500000,18000,Left,3,2,2,"High/ Medium",Normal,22
112362,"F. Zoko",34,https://cdn.sofifa.org/players/4/19/112362.png,Nat021,64,64,C00002,240000,3000,Right,1,3,2,"Medium/ Low",Stocky,13
112365,"R. Cohade",33,https://cdn.sofifa.org/players/4/19/112365.png,Nat014,74,74,C00049,3300000,8000,Right,2,3,3,"Medium/ Medium",Normal,24
112373,"A. Balijon",35,https://cdn.sofifa.org/players/4/19/112373.png,Nat014,66,66,C00050,150000,1000,Right,1,3,1,"Medium/ Medium",Normal,50
113422,"David Villa",36,https://cdn.sofifa.org/players/4/19/113422.png,Nat012,82,82,C00051,8000000,12000,Right,3,5,4,"High/ Low",Normal,7
113524,Nino,38,https://cdn.sofifa.org/players/4/19/113524.png,Nat012,70,70,C00052,625000,4000,Right,2,4,3,"High/ Medium",Normal,7
11381,"M. Gilks",36,https://cdn.sofifa.org/players/4/19/11381.png,Nat007,67,67,C00053,100000,2000,Right,1,2,1,"Medium/ Medium",Stocky,1
11430,"J. McCombe",35,https://cdn.sofifa.org/players/4/19/11430.png,Nat001,53,53,C00054,10000,2000,Right,1,2,2,"Medium/ Medium",Lean,27
114356,"M. Wölfli",35,https://cdn.sofifa.org/players/4/19/114356.png,Nat015,68,68,C00055,210000,4000,Right,1,3,1,"Medium/ Medium",Normal,1
114764,Iraizoz,37,https://cdn.sofifa.org/players/4/19/114764.png,Nat012,75,75,C00056,450000,13000,Right,2,3,1,"Medium/ Medium",Normal,1
115533,"D. Benaglio",34,https://cdn.sofifa.org/players/4/19/115533.png,Nat015,77,77,C00057,3600000,44000,Right,3,3,1,"Medium/ Medium",Normal,16
115909,"Rubén Castro",37,https://cdn.sofifa.org/players/4/19/115909.png,Nat012,77,77,C00058,3200000,11000,Right,2,3,3,"Medium/ Low",Normal,7
116308,"R. Fanni",36,https://cdn.sofifa.org/players/4/19/116308.png,Nat014,74,74,C00059,750000,5000,Right,2,3,2,"Medium/ High",Normal,15
116314,"D. Martin",32,https://cdn.sofifa.org/players/4/19/116314.png,Nat001,66,66,C00060,375000,3000,Right,1,3,1,"Medium/ Medium",Normal,16
116762,"S. Roudet",37,https://cdn.sofifa.org/players/4/19/116762.png,Nat014,69,69,C00061,350000,3000,Left,1,3,3,"High/ Medium",Lean,10
116917,"D. Perquis",32,https://cdn.sofifa.org/players/4/19/116917.png,Nat014,69,69,C00061,600000,3000,Right,1,3,1,"Medium/ Medium",Normal,16
117063,"N. Douchez",38,https://cdn.sofifa.org/players/4/19/117063.png,Nat014,66,66,C00062,40000,1000,Right,2,3,1,"Medium/ Medium",Normal,16
1179,"G. Buffon",40,https://cdn.sofifa.org/players/4/19/1179.png,Nat004,88,88,C00063,4000000,77000,Right,4,2,1,"Medium/ Medium",Normal,1
11800,"C. Weale",36,https://cdn.sofifa.org/players/4/19/11800.png,Nat001,57,57,C00010,10000,1000,Left,1,2,1,"Medium/ Medium",Normal,22
11811,"P. Green",35,https://cdn.sofifa.org/players/4/19/11811.png,Nat009,63,63,C00033,150000,3000,Right,1,3,2,"High/ High",Normal,17
118359,"L. Miller",35,https://cdn.sofifa.org/players/4/19/118359.png,Nat007,65,65,C00064,250000,2000,Right,1,3,2,"Medium/ Medium",Normal,18
118646,"I. Henderson",33,https://cdn.sofifa.org/players/4/19/118646.png,Nat001,67,67,C00065,475000,3000,Right,1,3,3,"High/ Medium",Normal,40
118794,"A. Lonergan",34,https://cdn.sofifa.org/players/4/19/118794.png,Nat001,65,65,C00066,220000,9000,Left,1,1,1,"Medium/ Medium",Normal,31
118868,"C. Källqvist",34,https://cdn.sofifa.org/players/4/19/118868.png,Nat008,63,63,C00067,150000,1000,Right,1,3,1,"Medium/ Medium",Stocky,1
119233,"T. Mears",35,https://cdn.sofifa.org/players/4/19/119233.png,Nat001,66,66,C00068,140000,6000,Right,1,3,3,"Medium/ Medium",Normal,12
120243,"P. Gori",38,https://cdn.sofifa.org/players/4/19/120243.png,Nat004,63,63,C00069,20000,1000,Right,1,1,1,"Medium/ Medium",Normal,22
120312,"M. Dawson",34,https://cdn.sofifa.org/players/4/19/120312.png,Nat001,71,71,C00070,725000,27000,Right,2,3,2,"Medium/ High",Lean,20
120415,"S. Shearer",37,https://cdn.sofifa.org/players/4/19/120415.png,Nat007,59,59,C00071,10000,1000,Left,1,3,1,"Medium/ Medium",Normal,13
120533,Pepe,35,https://cdn.sofifa.org/players/4/19/120533.png,Nat022,85,85,C00072,9000000,57000,Right,4,3,2,"Medium/ High",Lean,3
121134,"A. Walke",35,https://cdn.sofifa.org/players/4/19/121134.png,Nat002,72,72,C00073,725000,12000,Right,1,3,1,"Medium/ Medium",Stocky,33
121933,"R. Adler",33,https://cdn.sofifa.org/players/4/19/121933.png,Nat002,79,79,C00074,6500000,25000,Right,2,3,1,"Medium/ Medium",Normal,1
121937,"M. Rensing",34,https://cdn.sofifa.org/players/4/19/121937.png,Nat002,73,73,C00075,1600000,17000,Right,2,3,1,"Medium/ Medium",Normal,1
121944,"B. Schweinsteiger",33,https://cdn.sofifa.org/players/4/19/121944.png,Nat002,80,80,C00076,6000000,11000,Right,4,3,3,"Medium/ Medium",Normal,31
121980,"A. Poggenborg",34,https://cdn.sofifa.org/players/4/19/121980.png,Nat002,60,60,C00077,80000,1000,Right,1,3,1,"Medium/ Medium",Normal,33
121988,"L. Kruse",34,https://cdn.sofifa.org/players/4/19/121988.png,Nat002,66,66,C00078,260000,2000,Right,1,3,1,"Medium/ Medium",Normal,30
122066,"R. König",35,https://cdn.sofifa.org/players/4/19/122066.png,Nat002,65,65,C00079,250000,1000,Left,1,4,2,"Medium/ Medium",Stocky,15
122574,"S. Whittaker",34,https://cdn.sofifa.org/players/4/19/122574.png,Nat007,68,68,C00080,250000,3000,Right,1,4,3,"High/ Medium",Normal,3
122718,"P. Heerwagen",35,https://cdn.sofifa.org/players/4/19/122718.png,Nat002,64,64,C00081,110000,3000,Right,1,2,1,"Medium/ Medium",Normal,1
122849,"A. Koné",34,https://cdn.sofifa.org/players/4/19/122849.png,Nat021,74,74,C00082,3000000,15000,Right,2,4,3,"Medium/ Medium",Normal,2
123603,"H. Campagnaro",38,https://cdn.sofifa.org/players/4/19/123603.png,Nat023,70,70,C00083,240000,2000,Right,2,3,2,"Low/ Medium",Normal,2
124337,"A. Turan",34,https://cdn.sofifa.org/players/4/19/124337.png,Nat024,71,71,C00084,725000,11000,Right,1,3,2,"Low/ High",Normal,4
124375,"B. Y?lmaz",32,https://cdn.sofifa.org/players/4/19/124375.png,Nat024,79,79,C00085,10000000,41000,Right,2,3,3,"High/ Low",Lean,17
124388,"O. Çek",27,https://cdn.sofifa.org/players/4/19/124388.png,Nat024,71,72,C00086,2200000,9000,Left,1,2,3,"High/ Medium",Lean,60
124607,"S. ?nan",33,https://cdn.sofifa.org/players/4/19/124607.png,Nat024,75,75,C00087,3900000,47000,Right,2,3,3,"Medium/ Medium",Lean,8
124635,"M. Topal",32,https://cdn.sofifa.org/players/4/19/124635.png,Nat024,76,76,C00046,4400000,51000,Right,2,5,3,"Medium/ Medium",Normal,5
125132,"B. Körk",38,https://cdn.sofifa.org/players/4/19/125132.png,Nat024,65,65,C00088,40000,2000,Right,1,2,1,"Medium/ Medium",Normal,35
125586,"S. Andersen",36,https://cdn.sofifa.org/players/4/19/125586.png,Nat025,68,68,C00089,120000,4000,Right,1,3,1,"Medium/ Medium",Normal,1
125871,"H. Kald?r?m",28,https://cdn.sofifa.org/players/4/19/125871.png,Nat024,73,73,C00046,3200000,43000,Left,1,2,3,"Medium/ High",Normal,3
125995,"U. Bulut",35,https://cdn.sofifa.org/players/4/19/125995.png,Nat024,71,71,C00090,1100000,8000,Right,1,3,3,"High/ Medium",Normal,9
126883,"A. Durak",31,https://cdn.sofifa.org/players/4/19/126883.png,Nat024,67,67,C00091,525000,5000,Right,1,3,3,"Medium/ Medium",Normal,5
128529,"U. Ceylan",32,https://cdn.sofifa.org/players/4/19/128529.png,Nat024,69,69,C00092,600000,5000,Left,1,2,1,"Medium/ Medium",Normal,35
12940,"E. Pogatetz",35,https://cdn.sofifa.org/players/4/19/12940.png,Nat013,68,68,C00093,210000,3000,Left,2,2,2,"Medium/ Medium",Lean,4
129566,"P. McShane",32,https://cdn.sofifa.org/players/4/19/129566.png,Nat009,68,68,C00094,525000,12000,Right,1,3,2,"Medium/ High",Normal,5
131444,"R. Würtz",34,https://cdn.sofifa.org/players/4/19/131444.png,Nat025,68,68,C00095,425000,6000,Right,1,4,2,"Medium/ High",Normal,8
132740,"J. Hansen",33,https://cdn.sofifa.org/players/4/19/132740.png,Nat025,75,75,C00096,3400000,16000,Right,1,3,1,"Medium/ Medium",Normal,1
133249,"E. Hallfreðsson",34,https://cdn.sofifa.org/players/4/19/133249.png,Nat026,72,72,C00097,1500000,12000,Left,2,3,3,"High/ High",Normal,20
134777,"G. Bourillon",34,https://cdn.sofifa.org/players/4/19/134777.png,Nat014,67,67,C00098,230000,2000,Right,1,4,2,"Low/ Medium",Normal,5
134779,"J. Briand",32,https://cdn.sofifa.org/players/4/19/134779.png,Nat014,76,76,C00047,6000000,41000,Right,2,3,3,"High/ Medium",Normal,7
134792,"D. Bowditch",32,https://cdn.sofifa.org/players/4/19/134792.png,Nat001,63,63,C00099,290000,3000,Right,1,3,2,"Medium/ Medium",Lean,15
134820,"S. Brown",33,https://cdn.sofifa.org/players/4/19/134820.png,Nat007,77,77,C00100,3600000,47000,Right,2,3,3,"Medium/ High",Stocky,8
134828,"K. Broadfoot",33,https://cdn.sofifa.org/players/4/19/134828.png,Nat007,67,67,C00013,300000,3000,Right,1,3,2,"Medium/ Medium",Normal,5
134895,"R. Hilbert",33,https://cdn.sofifa.org/players/4/19/134895.png,Nat002,71,71,C00101,900000,7000,Right,2,3,3,"High/ Medium",Normal,19
134968,"R. Haemhouts",34,https://cdn.sofifa.org/players/4/19/134968.png,Nat010,62,62,C00102,150000,2000,,,,,,,
135032,"N. Zimling",33,https://cdn.sofifa.org/players/4/19/135032.png,Nat025,67,67,C00103,450000,5000,Right,1,3,3,"Low/ Medium",Normal,25
135043,"A. Lindegaard",34,https://cdn.sofifa.org/players/4/19/135043.png,Nat025,68,68,C00104,375000,14000,Right,2,3,1,"Medium/ Medium",Normal,22
135190,"M. Liendl",32,https://cdn.sofifa.org/players/4/19/135190.png,Nat013,70,70,C00105,1300000,8000,Left,1,3,3,"Medium/ Medium",Normal,10
135218,"D. Perquis",34,https://cdn.sofifa.org/players/4/19/135218.png,Nat003,64,64,C00106,140000,1000,Right,1,3,2,"Low/ Medium",Normal,24
135451,Gomes,37,https://cdn.sofifa.org/players/4/19/135451.png,Nat027,77,77,C00107,600000,25000,Right,2,2,1,"Medium/ Medium",Lean,1
135507,Fernandinho,33,https://cdn.sofifa.org/players/4/19/135507.png,Nat027,86,86,C00108,18000000,185000,Right,3,4,3,"Medium/ High",Lean,25
135576,"Diego Barcelos",33,https://cdn.sofifa.org/players/4/19/135576.png,Nat027,69,69,C00109,650000,6000,Right,1,4,4,"High/ Low",Normal,10
135587,"N. Mäenpää",33,https://cdn.sofifa.org/players/4/19/135587.png,Nat028,69,69,C00110,525000,14000,Right,1,3,1,"Medium/ Medium",Normal,33
135646,"L. Walthert",34,https://cdn.sofifa.org/players/4/19/135646.png,Nat015,62,62,C00111,120000,1000,Right,1,2,1,"Medium/ Medium",Normal,30
135647,"P. Calandria",36,https://cdn.sofifa.org/players/4/19/135647.png,Nat023,69,69,C00112,375000,3000,Right,1,3,2,"Medium/ Low",Lean,9
135697,"Sergio García",35,https://cdn.sofifa.org/players/4/19/135697.png,Nat012,77,77,C00113,4100000,23000,Right,2,2,4,"Medium/ Medium",Normal,9
135742,Alexis,32,https://cdn.sofifa.org/players/4/19/135742.png,Nat012,74,74,C00114,3200000,29000,Right,2,3,2,"Medium/ High",Normal,4
135743,"Alex Geijo",36,https://cdn.sofifa.org/players/4/19/135743.png,Nat012,69,69,C00115,375000,2000,Right,1,3,2,"Medium/ Low",Lean,19
135883,"S. Francis",33,https://cdn.sofifa.org/players/4/19/135883.png,Nat001,75,75,C00023,2700000,49000,Right,1,4,2,"High/ Medium",Normal,2
135891,"K. Overmeire",32,https://cdn.sofifa.org/players/4/19/135891.png,Nat010,70,70,C00116,1000000,8000,Right,1,3,2,"Medium/ High",Normal,7
136069,Accioly,37,https://cdn.sofifa.org/players/4/19/136069.png,Nat027,67,67,C00117,100000,2000,Right,1,3,2,"Low/ High",Normal,4
136113,"W. Morgan",34,https://cdn.sofifa.org/players/4/19/136113.png,Nat029,75,75,C00118,2000000,50000,Right,2,2,2,"Medium/ High",Stocky,5
136363,"Jung Jo Gook",34,https://cdn.sofifa.org/players/4/19/136363.png,Nat030,69,69,C00119,550000,4000,Right,1,3,2,"High/ Low",Normal,9
136504,"Cho Sung Hwan",36,https://cdn.sofifa.org/players/4/19/136504.png,Nat030,64,64,C00120,60000,2000,Right,1,3,2,"Low/ High",Normal,16
136553,"Lee Dong Gook",39,https://cdn.sofifa.org/players/4/19/136553.png,Nat030,68,68,C00120,260000,4000,Right,3,4,2,"High/ Low",Normal,20
136601,"Kim Yong Dae",38,https://cdn.sofifa.org/players/4/19/136601.png,Nat030,66,66,C00121,40000,1000,Right,2,3,1,"Medium/ Medium",Normal,1
137109,"S. Schaars",34,https://cdn.sofifa.org/players/4/19/137109.png,Nat031,73,73,C00122,1200000,8000,Left,2,3,2,"Medium/ Medium",Normal,6
137114,"M. Ciani",34,https://cdn.sofifa.org/players/4/19/137114.png,Nat014,69,69,C00123,325000,4000,Right,2,3,2,"Medium/ Medium",Normal,28
137166,"P. Jones",32,https://cdn.sofifa.org/players/4/19/137166.png,Nat001,63,63,C00124,210000,2000,Right,1,3,1,"Medium/ Medium",Normal,16
137186,"A. Barzagli",37,https://cdn.sofifa.org/players/4/19/137186.png,Nat004,84,84,C00125,4200000,95000,Right,3,3,2,"Low/ High",Normal,15
137242,"L. Jiménez",34,https://cdn.sofifa.org/players/4/19/137242.png,Nat011,72,72,C00126,1600000,4000,Right,2,4,3,"High/ Medium",Normal,19
137267,"R. Clark",35,https://cdn.sofifa.org/players/4/19/137267.png,Nat032,66,66,C00127,150000,2000,Right,2,3,2,"Medium/ High",Lean,2
137351,"D. Baier",34,https://cdn.sofifa.org/players/4/19/137351.png,Nat002,79,79,C00128,3800000,28000,Right,2,3,3,"Medium/ High",Normal,10
137356,"S. Farelli",35,https://cdn.sofifa.org/players/4/19/137356.png,Nat004,58,58,C00083,30000,1000,Right,1,1,1,"Medium/ Medium",Normal,21
137359,"C. Lepoint",33,https://cdn.sofifa.org/players/4/19/137359.png,Nat010,68,68,C00129,375000,6000,Right,1,3,2,"High/ High",Normal,15
137361,"G. Pazzini",33,https://cdn.sofifa.org/players/4/19/137361.png,Nat004,73,73,C00130,2500000,5000,Right,2,3,3,"Medium/ Medium",Normal,11
137373,"M. Gobbi",37,https://cdn.sofifa.org/players/4/19/137373.png,Nat004,71,71,C00131,270000,16000,Left,2,3,3,"Medium/ High",Lean,18
137406,"D. Croce",35,https://cdn.sofifa.org/players/4/19/137406.png,Nat004,70,70,C00132,750000,2000,Right,1,3,3,"High/ Medium",Normal,11
137410,"D. Gastaldello",35,https://cdn.sofifa.org/players/4/19/137410.png,Nat004,71,71,C00133,550000,2000,Right,2,3,2,"Medium/ Medium",Lean,5
137449,"J. Callsen-Bracker",33,https://cdn.sofifa.org/players/4/19/137449.png,Nat002,71,71,C00128,950000,14000,Right,2,3,2,"Low/ Medium",Normal,18
137460,"A. Rosina",34,https://cdn.sofifa.org/players/4/19/137460.png,Nat004,73,73,C00134,2000000,5000,Left,2,3,4,"Medium/ Medium",Normal,10
137506,"G. Pandev",34,https://cdn.sofifa.org/players/4/19/137506.png,Nat033,75,75,C00135,3500000,18000,Left,2,3,4,"Medium/ Low",Normal,19
137510,"A. Kruiswijk",33,https://cdn.sofifa.org/players/4/19/137510.png,Nat031,65,65,C00136,210000,4000,Left,1,3,2,"Low/ High",Normal,6
137677,"M. Vorm",34,https://cdn.sofifa.org/players/4/19/137677.png,Nat031,77,77,C00137,3600000,56000,Right,2,3,1,"Medium/ Medium",Normal,13
137686,"A. Hadouir",35,https://cdn.sofifa.org/players/4/19/137686.png,Nat031,66,66,C00138,280000,2000,Right,1,4,3,"Medium/ Low",Normal,7
137699,"M. Stoll",35,https://cdn.sofifa.org/players/4/19/137699.png,Nat002,64,64,C00139,110000,1000,Right,1,4,2,"Medium/ Medium",Normal,4
137708,"F. Dick",33,https://cdn.sofifa.org/players/4/19/137708.png,Nat002,66,66,C00140,250000,2000,Right,1,3,2,"Medium/ Medium",Normal,23
137774,"D. Maietta",35,https://cdn.sofifa.org/players/4/19/137774.png,Nat004,72,72,C00141,725000,7000,Right,1,2,2,"Medium/ High",Normal,22
137809,"Vágner Love",34,https://cdn.sofifa.org/players/4/19/137809.png,Nat027,77,77,C00072,4700000,50000,Right,3,5,4,"High/ Low",Stocky,99
137987,"J. Lotiès",33,https://cdn.sofifa.org/players/4/19/137987.png,Nat014,67,67,C00142,300000,4000,Right,1,3,2,"Low/ Medium",Normal,4
138026,"D. Verhulst",30,https://cdn.sofifa.org/players/4/19/138026.png,Nat010,69,69,C00116,675000,5000,Right,1,3,1,"Medium/ Medium",Normal,13
138083,"N. Hunt",34,https://cdn.sofifa.org/players/4/19/138083.png,Nat001,55,55,C00033,30000,3000,Right,1,2,2,"Low/ Medium",Normal,29
138086,"L. Kryger",35,https://cdn.sofifa.org/players/4/19/138086.png,Nat025,59,59,C00143,70000,1000,Right,1,3,2,"Medium/ High",Normal,10
138091,"A. Egholm",35,https://cdn.sofifa.org/players/4/19/138091.png,Nat025,61,61,C00103,60000,2000,Right,1,3,2,"Low/ High",Stocky,12
138110,"Bruno Alves",36,https://cdn.sofifa.org/players/4/19/138110.png,Nat022,71,71,C00131,325000,16000,Right,2,3,3,"Medium/ Medium",Normal,22
138151,"J. Welsh",34,https://cdn.sofifa.org/players/4/19/138151.png,Nat001,65,65,C00144,160000,3000,Right,1,3,2,"Medium/ High",Stocky,4
138153,"D. Potter",33,https://cdn.sofifa.org/players/4/19/138153.png,Nat009,64,64,C00145,180000,7000,Right,1,3,2,"Medium/ Medium",Lean,16
138180,"J. Campbell-Ryce",35,https://cdn.sofifa.org/players/4/19/138180.png,Nat029,62,62,C00146,130000,2000,Right,1,3,3,"Medium/ High",Stocky,20
138181,"M. Turner",34,https://cdn.sofifa.org/players/4/19/138181.png,Nat001,67,67,C00147,230000,4000,Right,1,2,2,"Low/ Medium",Normal,6
138247,"K. Stuhr-Ellegaard",35,https://cdn.sofifa.org/players/4/19/138247.png,Nat025,70,70,C00015,425000,2000,Right,1,2,1,"Medium/ Medium",Normal,1
138251,"R. Foster",32,https://cdn.sofifa.org/players/4/19/138251.png,Nat007,64,64,C00148,250000,2000,Right,1,3,2,"High/ Medium",Normal,19
138279,"L. Dyer",35,https://cdn.sofifa.org/players/4/19/138279.png,Nat001,65,65,C00149,240000,2000,Left,1,1,3,"High/ Medium",Normal,22
138297,"A. Alvarez",33,https://cdn.sofifa.org/players/4/19/138297.png,Nat034,65,65,C00150,325000,2000,Left,1,2,3,"Medium/ Medium",Normal,12
138306,Angulo,34,https://cdn.sofifa.org/players/4/19/138306.png,Nat012,72,72,C00151,1600000,6000,Left,1,3,3,"Medium/ Medium",Normal,17
